Donnerstag, 11.April 2019	101.3		20190411
Freitag, 12.April 2019	101.1		20190412
Samstag, 13.April 2019	100.5		20190413
Sonntag, 14.April 2019	100.3		20190414
Montag, 15.April 2019	100.8		20190415
Dienstag, 16.April 2019	101.3		20190416
Mittwoch, 17.April 2019	101.8		20190417
Donnerstag, 18.April 2019	101.8		20190418
Freitag, 19.April 2019	102.0		20190419
Samstag, 20.April 2019	102.0		20190420
Sonntag, 21.April 2019	100.8		20190421
Montag, 22.April 2019	100.4		20190422
Dienstag, 23.April 2019	100.7		20190423
Mittwoch, 24.April 2019	102.0		20190424
Donnerstag, 25.April 2019	102.0		20190425
Freitag, 26.April 2019	101.6		20190426
Samstag, 27.April 2019	100.7		20190427
Sonntag, 28.April 2019	101.0		20190428
Montag, 29.April 2019	101.0		20190429
Dienstag, 30.April 2019	101.2		20190430
Mittwoch, 01.Mai 2019	102.0		20190501
Donnerstag, 02.Mai 2019	102.0		20190502
Freitag, 03.Mai 2019	102.0		20190503
Samstag, 04.Mai 2019	101.6		20190504
Sonntag, 05.Mai 2019	101.1		20190505
Montag, 06.Mai 2019	101.1		20190506
Dienstag, 07.Mai 2019	100.8		20190507
Mittwoch, 08.Mai 2019	102.1		20190508
Donnerstag, 09.Mai 2019	102.1		20190509
Freitag, 10.Mai 2019	102.1		20190510
Samstag, 11.Mai 2019	102.1		20190511
Sonntag, 12.Mai 2019	101.8		20190512
Montag, 13.Mai 2019	101.6		20190513
Dienstag, 14.Mai 2019	101.6		20190514
Mittwoch, 15.Mai 2019	103.0		20190515
Freitag, 17.Mai 2019	103.0		20190517
Donnerstag, 16.Mai 2019	103.0		20190516
Samstag, 18.Mai 2019	103.0		20190518
Sonntag, 19.Mai 2019	101.5		20190519
Montag, 20.Mai 2019	100.1		20190520
Dienstag, 21.Mai 2019	100.8		20190521
Mittwoch, 22.Mai 2019	99.8		20190522
Donnerstag, 23.Mai 2019	99.9		20190523
Freitag, 24.Mai 2019	99.9		20190524
Samstag, 25.Mai 2019	99.5		20190525
Sonntag, 26.Mai 2019	99.8		20190526
Montag, 27.Mai 2019	100.5		20190527
Dienstag, 28.Mai 2019	101.5		20190528
Mittwoch, 29.Mai 2019	101.9		20190529
Donnerstag, 30.Mai 2019	100.5		20190530
Freitag, 31.Mai 2019	101.2		20190531
Samstag, 01.Juni 2019	100.7		20190601
Sonntag, 02.Juni 2019	100.7		20190602
Montag, 03.Juni 2019	101.4		20190603
Dienstag, 04.Juni 2019	101.4		20190604
Mittwoch, 05.Juni 2019	101.9		20190605
Donnerstag, 06.Juni 2019	101.9		20190606
Freitag, 07.Juni 2019	101.9		20190607
Samstag, 08.Juni 2019	101.9		20190608
Sonntag, 09.Juni 2019	101.6		20190609
Montag, 10.Juni 2019	101.6		20190610
Dienstag, 11.Juni 2019	101.0		20190611
Mittwoch, 12.Juni 2019	100.2		20190612
Donnerstag, 13.Juni 2019	100.4		20190613
Freitag, 14.Juni 2019	100.1		20190614
Samstag, 15.Juni 2019	99.5		20190615
Sonntag, 16.Juni 2019	99.4		20190616
Montag, 17.Juni 2019	99.7		20190617
Dienstag, 18.Juni 2019	99.7		20190618
Mittwoch, 19.Juni 2019	99.6		20190619
Donnerstag, 20.Juni 2019	100.1		20190620
Freitag, 21.Juni 2019	100.1		20190621
Samstag, 22.Juni 2019	99.7		20190622
Sonntag, 23.Juni 2019	100.0		20190623
Montag, 24.Juni 2019	100.4		20190624
Dienstag, 25.Juni 2019	100.4		20190625
Mittwoch, 26.Juni 2019	100.5		20190626
Donnerstag, 27.Juni 2019	100.9		20190627
Freitag, 28.Juni 2019	100.9		20190628
Samstag, 29.Juni 2019	100.9		20190629
Sonntag, 30.Juni 2019	100.7		20190630
Montag, 01.Juli 2019	100.2		20190701
Dienstag, 02.Juli 2019	100.6		20190702
Mittwoch, 03.Juli 2019	100.6		20190703
Donnerstag, 04.Juli 2019	101.4		20190704
Freitag, 05.Juli 2019	101.6		20190705
Samstag, 06.Juli 2019	102.4		20190706
Sonntag, 07.Juli 2019	101.8		20190707
Montag, 08.Juli 2019	100.7		20190708
Dienstag, 09.Juli 2019	101.4		20190709
Mittwoch, 10.Juli 2019	101.0		20190710
Donnerstag, 11.Juli 2019	101.0		20190711
Freitag, 12.Juli 2019	101.0		20190712
Samstag, 13.Juli 2019	101.0		20190713
Sonntag, 14.Juli 2019	102.0		20190714
Montag, 15.Juli 2019	101.8		20190715
Dienstag, 16.Juli 2019	102.0		20190716
Mittwoch, 17.Juli 2019	102.5		20190717
Donnerstag, 18.Juli 2019	102.0		20190718
Freitag, 19.Juli 2019	101.8		20190719
Samstag, 20.Juli 2019	102.4		20190720
Sonntag, 21.Juli 2019	101.0		20190721
Montag, 22.Juli 2019	102.4		20190722
Dienstag, 23.Juli 2019	102.5		20190723
Mittwoch, 24.Juli 2019	102.8		20190724
Donnerstag, 25.Juli 2019	100.7		20190725
Freitag, 26.Juli 2019	100.1		20190726
Samstag, 27.Juli 2019	101.0		20190727
Sonntag, 28.Juli 2019	100.1		20190728
Dienstag, 30.Juli 2019	99.7		20190730
Mittwoch, 31.Juli 2019	100.6		20190731
Donnerstag, 01.August 2019	100.5		20190801
Freitag, 02.August 2019	100.6		20190802
Samstag, 03.August 2019	99.5		20190803
Sonntag, 04.August 2019	99.5		20190804
Montag, 05.August 2019	99.3		20190805
Dienstag, 06.August 2019	98.7		20190806
Mittwoch, 07.August 2019	98.7		20190807
Donnerstag, 08.August 2019	99.2		20190808
Freitag, 09.August 2019	99.2		20190809
Samstag, 10.August 2019	99.2		20190810
Sonntag, 11.August 2019	99.8		20190811
Montag, 12.August 2019	99.5		20190812
Dienstag, 13.August 2019	99.9		20190813
Mittwoch, 14.August 2019	100.5		20190814
Donnerstag, 15.August 2019	100.5		20190815
Freitag, 16.August 2019	100.7		20190816
Samstag, 17.August 2019	100.2		20190817
Sonntag, 18.August 2019	98.9		20190818
Montag, 19.August 2019	99.0		20190819
Dienstag, 20.August 2019	99.0		20190820
Mittwoch, 21.August 2019	99.0		20190821
Donnerstag, 22.August 2019	99.6		20190822
Freitag, 23.August 2019	99.6		20190823
Samstag, 24.August 2019	98.8		20190824
Sonntag, 25.August 2019	98.4		20190825
Montag, 26.August 2019	99.0		20190826
Dienstag, 27.August 2019	99.0		20190827
Mittwoch, 28.August 2019	98.9		20190828
Donnerstag, 29.August 2019	98.7		20190829
Freitag, 30.August 2019	98.5		20190830
Samstag, 31.August 2019	98.5		20190831
Sonntag, 01.September 2019	99.0		20190901
Montag, 02.September 2019	99.7		20190902
Dienstag, 03.September 2019	99.8		20190903
Mittwoch, 04.September 2019	99.4		20190904
Donnerstag, 05.September 2019	99.5		20190905
Freitag, 06.September 2019	100.4		20190906
